Afro-Asiatic|Arabic>Maghreb A.|Maltese|0.53e6|Malta|https://en.wikipedia.org/wiki/Maltese_language
Paleo-European|Aquitanian|Basque|0.75e6|Spain,France|https://en.wikipedia.org/wiki/Basque_language
Uralic|Finno-Sámi>Finnic|Estonian|1.2e6|Estonia|https://en.wikipedia.org/wiki/Estonian_language
Uralic|Finno-Sámi>Finnic|Finnish|5.8e6|Finland,Sweden,Norway|https://en.wikipedia.org/wiki/Finnish_language
Uralic|Finno-Sámi>Finnic|Karelian|11e3|Finland|https://en.wikipedia.org/wiki/Karelian_language
Uralic|Finno-Sámi>Finnic|Võro|0.1e6|Estonia|https://en.wikipedia.org/wiki/V%C3%B5ro_language
Uralic|Finno-Sámi>Sámi|North Sámi|26e3|Norway,Sweden,Finland|https://en.wikipedia.org/wiki/Northern_S%C3%A1mi
Uralic|Ugric|Hungarian|17e6|Hungary,Austria,Croatia,Romania,Serbia,Slovakia,Slovenia,Ukraine|https://en.wikipedia.org/wiki/Hungarian_language
Indo-European|Armenian|Armenian|52e3|Armenia,Azerbaijan|https://en.wikipedia.org/wiki/Armenian_language
Indo-European|Balto-Slavic>Baltic>Eastern Baltic|Latvian|1.5e6|Latvia|https://en.wikipedia.org/wiki/Latvian_language
Indo-European|Balto-Slavic>Baltic>Eastern Baltic|Lithuanian|3.0e6|Lithuania|https://en.wikipedia.org/wiki/Lithuanian_language
Indo-European|Balto-Slavic>Slavic>East Slavic|Rusyn|70e3|Slovakia,Serbia,Poland,Ukraine,Croatia,Hungary,Czech Republic|https://en.wikipedia.org/wiki/Rusyn_language
Indo-European|Balto-Slavic>Slavic>East Slavic|Ukrainian|32.6e6|Ukraine|https://en.wikipedia.org/wiki/Ukrainian_language
Indo-European|Balto-Slavic>Slavic>South Slavic|Bulgarian|6e6|Bulgaria,Albania,Greece,Romania,North Macedonia,Moldova,Serbia,Turkey,Ukraine|https://en.wikipedia.org/wiki/Bulgarian_language
